

20100123	12345	Hwang Myunghan	CS	 12345 23456 17651 17652

20090421	12345	Kim Jason	EE	 17651 17652 17653 17654

20110512	12345	Park Hongsun	CS	 12345 23456 17652 17654

20100123	12345	Kim Yunmi	CS	 12345 17651 17652 17653

20100125	12345	Kim Hokyung	ME	 12345 23456 17651 17654

20100323	12345	Jung Philsoo	CS	 12345 23456 17651 17655

20080678	12345	Ahn Jonghyuk	EE	 12345 17651 17652 17654

20110298	12345	Lee Mijung	ME	 12345 23456 17651 17652

20120808	12345	Kim Sungsuk	EE	 12345 23456 17651 17652

20080603	12345	Park Kitea	ME	 17651 17652 17653

20070452	12345	Ko Kyungmin	CS	 12345 17652 17655

20130091	12345	Kim Chulmin	CS	 12345 23456 17651 17652

20110876	12345	Park Kiyoung	EE	 12345 17651 17652 17654

20100128	12345	Kim Minsu	CS	 12345 17651 17652 17653

20100131	12345	Kim JungMi	CS	 17651 17652 17653 17655

20130094	12345	Jang Goyoung	CS	 12345 23456 17653

20130095	12345	Kim Soyoung	EE	 12345 23456 17651 17652

60201976	12345	chang chen	SW	
